T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss],P [mB],T [°C],H [%]
34658, 609, -334, 546, -4060, -14700, 910, -141, 325, -604, 993.73, 24.44, 100.0
34662, 616, -338, 543, -4060, -14700, 910, -141, 325, -604, 993.73, 24.44, 100.0
34674, 645, -383, 540, -10360, -14700, 3150, -141, 325, -604, 993.75, 24.44, 100.0
34678, 663, -408, 551, -10360, -14700, 3150, -144, 324, -607, 993.75, 24.44, 100.0
34682, 671, -418, 553, -10360, -14700, 3150, -144, 324, -607, 993.75, 24.44, 100.0
34694, 699, -459, 581, -15820, -13370, 5670, -144, 324, -607, 993.68, 24.44, 100.0
34698, 691, -459, 592, -15820, -13370, 5670, -142, 319, -591, 993.68, 24.44, 100.0
34702, 677, -456, 597, -15820, -13370, 5670, -142, 319, -591, 993.68, 24.44, 100.0
34714, 646, -454, 613, -14280, -8190, 4550, -136, 319, -594, 993.66, 24.44, 100.0
34718, 637, -453, 614, -14280, -8190, 4550, -136, 319, -594, 993.66, 24.44, 100.0
34722, 636, -452, 618, -14280, -8190, 4550, -136, 319, -594, 993.66, 24.44, 100.0
34734, 630, -455, 624, -9590, -4060, 770, -135, 322, -594, 993.71, 24.44, 100.0
34738, 629, -451, 626, -9590, -4060, 770, -135, 322, -594, 993.71, 24.44, 100.0
34742, 630, -447, 625, -9590, -4060, 770, -135, 322, -594, 993.71, 24.44, 100.0
34754, 634, -438, 619, -8120, -5390, -3290, -136, 316, -588, 993.68, 24.44, 100.0
34758, 632, -436, 613, -8120, -5390, -3290, -136, 316, -588, 993.68, 24.44, 100.0
34762, 635, -433, 608, -8120, -5390, -3290, -136, 316, -588, 993.68, 24.44, 100.0
34774, 656, -438, 592, -8540, -8330, -5390, -138, 321, -591, 993.71, 24.44, 100.0
34778, 666, -449, 589, -8540, -8330, -5390, -138, 321, -591, 993.71, 24.44, 100.0
34782, 674, -444, 582, -8540, -8330, -5390, -138, 321, -591, 993.71, 24.44, 100.0
34794, 691, -470, 583, -9520, -10430, -2030, -138, 313, -592, 993.67, 24.44, 100.0
34798, 696, -476, 583, -9520, -10430, -2030, -138, 313, -592, 993.67, 24.44, 100.0
34802, 700, -466, 578, -9520, -10430, -2030, -138, 313, -592, 993.67, 24.44, 100.0
34814, 684, -452, 587, -9520, -9240, 4200, -130, 319, -582, 993.71, 24.44, 100.0
34818, 672, -449, 586, -9520, -9240, 4200, -130, 319, -582, 993.71, 24.44, 100.0
34822, 671, -453, 590, -9520, -9240, 4200, -130, 319, -582, 993.71, 24.46, 100.0
34834, 647, -474, 590, -8960, -4830, 7420, -138, 322, -582, 993.74, 24.46, 100.0
34838, 637, -482, 590, -8960, -4830, 7420, -138, 322, -582, 993.74, 24.46, 100.0
34842, 625, -480, 584, -10570, -1610, 7070, -138, 322, -582, 993.74, 24.46, 100.0
34854, 606, -477, 580, -10570, -1610, 7070, -127, 322, -586, 993.76, 24.46, 100.0
34858, 629, -482, 585, -10570, -1610, 7070, -127, 322, -586, 993.76, 24.46, 100.0
34862, 669, -495, 591, -12110, -1330, 6090, -127, 322, -586, 993.76, 24.46, 100.0
34874, 734, -532, 591, -12110, -1330, 6090, -126, 313, -576, 993.77, 24.46, 100.0
34878, 707, -547, 591, -12110, -1330, 6090, -126, 313, -576, 993.77, 24.46, 100.0
34882, 693, -546, 592, -13160, -980, 10850, -126, 313, -576, 993.77, 24.46, 100.0
34894, 666, -537, 599, -13160, -980, 10850, -123, 322, -585, 993.75, 24.46, 100.0
34898, 658, -536, 607, -13160, -980, 10850, -123, 322, -585, 993.75, 24.46, 100.0
34902, 651, -544, 614, -9730, 3500, 16380, -123, 322, -585, 993.75, 24.40, 100.0
34914, 659, -555, 628, -9730, 3500, 16380, -123, 334, -573, 993.76, 24.40, 100.0
34918, 646, -539, 623, -3710, 2590, 18410, -123, 334, -573, 993.76, 24.40, 100.0
34922, 635, -520, 619, -3710, 2590, 18410, -123, 334, -573, 993.76, 24.40, 100.0
34934, 617, -466, 603, -3710, 2590, 18410, -114, 336, -585, 993.78, 24.40, 100.0
34938, 621, -466, 601, 4480, -700, 15190, -114, 336, -585, 993.78, 24.40, 100.0
34942, 628, -456, 595, 4480, -700, 15190, -114, 336, -585, 993.78, 24.40, 100.0
34954, 650, -426, 580, 4480, -700, 15190, -120, 330, -580, 993.79, 24.40, 100.0
34958, 657, -427, 577, 6510, -4340, 12110, -120, 330, -580, 993.79, 24.40, 100.0
34962, 657, -428, 580, 6510, -4340, 12110, -120, 330, -580, 993.79, 24.40, 100.0
34974, 635, -452, 589, 3290, -5320, 10360, -109, 337, -573, 993.80, 24.40, 100.0
34978, 622, -463, 592, 3290, -5320, 10360, -109, 337, -573, 993.80, 24.44, 100.0
34982, 611, -470, 594, 3290, -5320, 10360, -109, 337, -573, 993.80, 24.44, 100.0
34994, 610, -501, 602, 770, -5810, 11480, -115, 336, -583, 993.78, 24.44, 100.0
34998, 617, -507, 603, 770, -5810, 11480, -115, 336, -583, 993.78, 24.44, 100.0
35002, 629, -504, 604, 770, -5810, 11480, -115, 336, -583, 993.78, 24.44, 100.0
35014, 581, -503, 606, 630, -9030, 12740, -105, 337, -580, 993.73, 24.44, 100.0
35018, 616, -519, 618, 630, -9030, 12740, -105, 337, -580, 993.73, 24.44, 100.0
35022, 634, -508, 619, 630, -9030, 12740, -105, 337, -580, 993.73, 24.44, 100.0
35034, 632, -560, 632, 980, -11970, 13790, -114, 342, -571, 993.75, 24.44, 100.0
35038, 638, -571, 627, 980, -11970, 13790, -114, 342, -571, 993.75, 24.44, 100.0
35042, 662, -564, 623, 980, -11970, 13790, -114, 342, -571, 993.75, 24.44, 100.0
35054, 653, -625, 646, 2450, -11690, 18060, -100, 333, -579, 993.75, 24.44, 100.0
35058, 655, -641, 648, 2450, -11690, 18060, -100, 333, -579, 993.75, 24.44, 100.0
35062, 656, -626, 641, 2450, -11690, 18060, -100, 333, -579, 993.75, 24.44, 100.0
35074, 626, -590, 638, 8330, -7980, 21420, -112, 343, -571, 993.75, 24.44, 100.0
35078, 618, -579, 635, 8330, -7980, 21420, -112, 343, -571, 993.75, 24.44, 100.0
35082, 610, -564, 634, 8330, -7980, 21420, -112, 343, -571, 993.75, 24.44, 100.0
35094, 610, -535, 633, 18130, -5670, 20020, -105, 342, -576, 993.83, 24.44, 100.0
35098, 602, -511, 627, 18130, -5670, 20020, -105, 342, -576, 993.83, 24.44, 100.0
35102, 599, -501, 625, 18130, -5670, 20020, -105, 342, -576, 993.83, 24.44, 100.0
35114, 650, -418, 613, 24010, -7910, 16590, -100, 351, -579, 993.83, 24.44, 100.0
35118, 660, -406, 612, 24010, -7910, 16590, -100, 351, -579, 993.83, 24.44, 100.0
35122, 671, -381, 618, 24010, -7910, 16590, -109, 342, -585, 993.83, 24.44, 100.0
35134, 689, -362, 617, 25900, -11970, 13510, -109, 342, -585, 993.82, 24.42, 100.0
35138, 705, -360, 602, 25900, -11970, 13510, -109, 342, -585, 993.82, 24.42, 100.0
35142, 709, -366, 599, 25900, -11970, 13510, -108, 351, -583, 993.82, 24.42, 100.0
35154, 767, -475, 570, 22680, -12530, 12180, -108, 351, -583, 993.77, 24.42, 100.0
35158, 796, -520, 564, 22680, -12530, 12180, -108, 351, -583, 993.77, 24.42, 100.0
35162, 819, -556, 565, 22680, -12530, 12180, -103, 343, -589, 993.77, 24.42, 100.0
35174, 818, -572, 572, 18830, -10010, 12740, -103, 343, -589, 993.83, 24.42, 100.0
35178, 789, -539, 579, 18830, -10010, 12740, -103, 343, -589, 993.83, 24.42, 100.0
35182, 766, -516, 581, 18830, -10010, 12740, -114, 351, -582, 993.83, 24.42, 100.0
35194, 666, -409, 609, 23100, -1610, 10640, -114, 351, -582, 993.88, 24.42, 100.0
35198, 630, -376, 618, 23100, -1610, 10640, -114, 351, -582, 993.88, 24.42, 100.0
35202, 600, -357, 627, 28000, 7840, 4970, -111, 358, -588, 993.88, 24.42, 100.0
35214, 572, -370, 640, 28000, 7840, 4970, -111, 358, -588, 993.87, 24.44, 100.0
35218, 573, -380, 639, 28000, 7840, 4970, -111, 358, -588, 993.87, 24.44, 100.0
35222, 576, -403, 641, 19390, 6860, 4970, -114, 351, -594, 993.87, 24.44, 100.0
35234, 577, -463, 645, 19390, 6860, 4970, -114, 351, -594, 993.82, 24.44, 100.0
35238, 579, -484, 650, 19390, 6860, 4970, -114, 351, -594, 993.82, 24.44, 100.0
35242, 573, -495, 652, 7910, -70, 10150, -109, 361, -594, 993.82, 24.44, 100.0
35254, 555, -522, 654, 7910, -70, 10150, -109, 361, -594, 993.87, 24.44, 100.0
35258, 553, -527, 653, 7910, -70, 10150, -108, 367, -598, 993.87, 24.44, 100.0
35262, 555, -542, 650, 3500, -5740, 14840, -108, 367, -598, 993.87, 24.44, 100.0
35274, 584, -589, 646, 3500, -5740, 14840, -108, 367, -598, 993.80, 24.44, 100.0
35278, 597, -599, 643, 3150, -10710, 15400, -105, 360, -586, 993.80, 24.44, 100.0
35282, 605, -600, 638, 3150, -10710, 15400, -105, 360, -586, 993.80, 24.44, 100.0
35294, 621, -586, 633, 3150, -10710, 15400, -105, 360, -586, 993.77, 24.44, 100.0
35298, 623, -571, 632, 7070, -13020, 10920, -105, 363, -592, 993.77, 24.44, 100.0
35302, 622, -555, 630, 7070, -13020, 10920, -105, 363, -592, 993.77, 24.44, 100.0
35314, 613, -511, 628, 7070, -13020, 10920, -105, 363, -592, 993.79, 24.44, 100.0
35318, 615, -500, 632, 13510, -11690, 6090, -103, 357, -594, 993.79, 24.44, 100.0
35322, 618, -498, 636, 13510, -11690, 6090, -103, 357, -594, 993.79, 24.44, 100.0
35334, 623, -469, 649, 13510, -11690, 6090, -103, 357, -594, 993.76, 24.44, 100.0
35338, 627, -457, 653, 16450, -10990, 4480, -117, 357, -600, 993.76, 24.44, 100.0
35342, 632, -454, 656, 16450, -10990, 4480, -117, 357, -600, 993.76, 24.44, 100.0
35354, 664, -499, 664, 15400, -11130, 6300, -117, 357, -600, 993.71, 24.44, 100.0
35358, 670, -510, 664, 15400, -11130, 6300, -105, 351, -594, 993.71, 24.44, 100.0
35362, 681, -529, 668, 15400, -11130, 6300, -105, 351, -594, 993.71, 24.44, 100.0
35374, 699, -564, 668, 12950, -10570, 9590, -105, 351, -594, 993.77, 24.46, 100.0
35378, 704, -571, 667, 12950, -10570, 9590, -105, 367, -597, 993.77, 24.46, 100.0
35382, 709, -574, 664, 12950, -10570, 9590, -105, 367, -597, 993.77, 24.46, 100.0
35394, 711, -562, 656, 15470, -7000, 13230, -102, 358, -595, 993.78, 24.46, 100.0
35398, 710, -556, 653, 15470, -7000, 13230, -102, 358, -595, 993.78, 24.46, 100.0
35402, 709, -542, 646, 15470, -7000, 13230, -102, 358, -595, 993.78, 24.46, 100.0
35414, 692, -492, 639, 20370, -1120, 17290, -99, 355, -595, 993.81, 24.46, 100.0
35418, 677, -466, 646, 20370, -1120, 17290, -99, 355, -595, 993.81, 24.46, 100.0
35422, 669, -451, 648, 20370, -1120, 17290, -99, 355, -595, 993.81, 24.46, 100.0
35434, 617, -412, 647, 21770, 6580, 19600, -100, 363, -609, 993.83, 24.46, 100.0
35438, 614, -420, 647, 21770, 6580, 19600, -100, 363, -609, 993.83, 24.46, 100.0
35442, 608, -443, 649, 21770, 6580, 19600, -100, 363, -609, 993.83, 24.46, 100.0
35454, 594, -521, 666, 15400, 11340, 18760, -105, 370, -598, 993.82, 24.42, 100.0
35458, 590, -560, 673, 15400, 11340, 18760, -105, 370, -598, 993.82, 24.42, 100.0
35462, 581, -568, 674, 15400, 11340, 18760, -105, 370, -598, 993.82, 24.42, 100.0
35474, 582, -590, 686, 7490, 10430, 18060, -97, 384, -607, 993.85, 24.42, 100.0
35478, 593, -586, 687, 7490, 10430, 18060, -97, 384, -607, 993.85, 24.42, 100.0
35482, 601, -580, 692, 7490, 10430, 18060, -97, 384, -607, 993.85, 24.42, 100.0
35494, 620, -548, 698, 9100, 6020, 17920, -97, 376, -607, 993.78, 24.42, 100.0
35498, 621, -542, 701, 9100, 6020, 17920, -97, 376, -607, 993.78, 24.42, 100.0
35502, 625, -541, 703, 9100, 6020, 17920, -97, 376, -607, 993.78, 24.42, 100.0
35514, 667, -580, 721, 14000, 2100, 14770, -105, 373, -607, 993.83, 24.42, 100.0
35518, 665, -588, 716, 14000, 2100, 14770, -105, 373, -607, 993.83, 24.42, 100.0
35522, 646, -582, 715, 14000, 2100, 14770, -105, 373, -607, 993.83, 24.44, 100.0
35534, 652, -563, 719, 17080, 1050, 8470, -105, 384, -610, 993.82, 24.44, 100.0
35538, 654, -561, 718, 17080, 1050, 8470, -105, 384, -610, 993.82, 24.44, 100.0
35542, 653, -560, 716, 17080, 1050, 8470, -105, 384, -610, 993.82, 24.44, 100.0
35554, 643, -500, 703, 23310, 1960, 2240, -100, 384, -615, 993.89, 24.44, 100.0
35558, 642, -485, 702, 23310, 1960, 2240, -100, 384, -615, 993.89, 24.44, 100.0
35562, 640, -475, 704, 29890, 3150, -2940, -100, 384, -615, 993.89, 24.44, 100.0
35574, 645, -457, 691, 29890, 3150, -2940, -109, 378, -624, 993.85, 24.44, 100.0
35578, 646, -455, 688, 29890, 3150, -2940, -109, 378, -624, 993.85, 24.44, 100.0
35582, 645, -452, 686, 32410, 4830, -5040, -109, 378, -624, 993.85, 24.44, 100.0
35594, 617, -439, 682, 32410, 4830, -5040, -106, 382, -625, 993.88, 24.44, 100.0
35598, 603, -429, 683, 32410, 4830, -5040, -106, 382, -625, 993.88, 24.44, 100.0
35602, 595, -422, 683, 31990, 7840, -5600, -106, 382, -625, 993.88, 24.42, 100.0
35614, 572, -399, 676, 31990, 7840, -5600, -108, 379, -633, 993.89, 24.42, 100.0
35618, 564, -393, 676, 31990, 7840, -5600, -108, 379, -633, 993.89, 24.42, 100.0
35622, 560, -390, 675, 31080, 10570, -5950, -108, 379, -633, 993.89, 24.42, 100.0
35634, 535, -380, 681, 31080, 10570, -5950, -115, 387, -627, 993.92, 24.42, 100.0
35638, 533, -372, 683, 28350, 10850, -3780, -115, 387, -627, 993.92, 24.42, 100.0
35642, 530, -370, 685, 28350, 10850, -3780, -115, 387, -627, 993.92, 24.42, 100.0
35654, 528, -366, 689, 28350, 10850, -3780, -120, 387, -634, 993.88, 24.42, 100.0
35658, 533, -370, 691, 24780, 9520, 70, -120, 387, -634, 993.88, 24.42, 100.0
35662, 537, -375, 693, 24780, 9520, 70, -120, 387, -634, 993.88, 24.42, 100.0
35674, 550, -404, 700, 24780, 9520, 70, -121, 387, -643, 993.86, 24.42, 100.0
35678, 552, -410, 700, 20090, 7420, 3780, -121, 387, -643, 993.86, 24.46, 100.0
35682, 550, -417, 700, 20090, 7420, 3780, -121, 387, -643, 993.86, 24.46, 100.0
35694, 554, -426, 708, 20090, 7420, 3780, -124, 388, -646, 993.87, 24.46, 100.0
35698, 554, -424, 713, 17080, 6440, 5670, -124, 388, -646, 993.87, 24.46, 100.0
35702, 555, -423, 720, 17080, 6440, 5670, -124, 388, -646, 993.87, 24.46, 100.0
35714, 564, -421, 729, 16660, 5670, 6580, -127, 384, -642, 993.92, 24.46, 100.0
35718, 569, -424, 731, 16660, 5670, 6580, -127, 384, -642, 993.92, 24.46, 100.0
35722, 577, -425, 735, 16660, 5670, 6580, -127, 384, -642, 993.92, 24.46, 100.0
35734, 590, -429, 739, 16170, 4340, 7770, -121, 391, -648, 993.93, 24.46, 100.0
35738, 589, -431, 740, 16170, 4340, 7770, -121, 391, -648, 993.93, 24.46, 100.0
35742, 590, -432, 738, 16170, 4340, 7770, -121, 391, -648, 993.93, 24.46, 100.0
35754, 593, -442, 740, 15260, 4340, 7560, -123, 394, -649, 993.93, 24.46, 100.0
35758, 593, -445, 740, 15260, 4340, 7560, -123, 394, -649, 993.93, 24.44, 100.0
35762, 591, -441, 742, 15260, 4340, 7560, -123, 394, -649, 993.93, 24.44, 100.0
35774, 587, -428, 744, 14770, 4970, 6090, -124, 409, -649, 993.91, 24.44, 100.0
35778, 585, -424, 745, 14770, 4970, 6090, -124, 409, -649, 993.91, 24.44, 100.0
35782, 586, -427, 743, 14770, 4970, 6090, -124, 409, -658, 993.91, 24.44, 100.0
35794, 596, -442, 751, 15050, 5250, 4550, -124, 402, -658, 993.93, 24.44, 100.0
35798, 595, -439, 752, 15050, 5250, 4550, -124, 402, -658, 993.93, 24.44, 100.0
35802, 592, -438, 753, 15050, 5250, 4550, -121, 396, -655, 993.93, 24.44, 100.0
35814, 589, -430, 752, 16380, 5530, 3080, -121, 396, -655, 993.94, 24.44, 100.0
35818, 589, -426, 748, 16380, 5530, 3080, -121, 396, -655, 993.94, 24.44, 100.0
35822, 590, -418, 748, 16380, 5530, 3080, -132, 405, -661, 993.94, 24.44, 100.0
35834, 584, -406, 747, 20020, 6510, 1330, -132, 405, -661, 993.92, 24.44, 100.0
35838, 575, -391, 746, 20020, 6510, 1330, -132, 405, -661, 993.92, 24.44, 100.0
35842, 587, -381, 746, 20020, 6510, 1330, -130, 402, -667, 993.92, 24.44, 100.0
35854, 599, -357, 737, 23030, 7140, -420, -130, 402, -667, 993.93, 24.44, 100.0
35858, 604, -360, 738, 23030, 7140, -420, -130, 402, -667, 993.93, 24.44, 100.0
35862, 622, -373, 738, 23030, 7140, -420, -138, 397, -666, 993.93, 24.44, 100.0
35874, 631, -401, 746, 23030, 6580, -4830, -138, 397, -666, 993.91, 24.44, 100.0
35878, 626, -399, 746, 23030, 6580, -4830, -138, 397, -666, 993.91, 24.44, 100.0
35882, 624, -395, 750, 23030, 6580, -4830, -145, 402, -667, 993.91, 24.44, 100.0
35894, 607, -369, 760, 22680, 8050, -7210, -145, 402, -667, 993.93, 24.44, 100.0
35898, 602, -364, 760, 22680, 8050, -7210, -145, 402, -667, 993.93, 24.44, 100.0
35902, 592, -358, 764, 22680, 8050, -7210, -133, 406, -666, 993.93, 24.44, 100.0
35914, 548, -328, 762, 25270, 11690, -7770, -133, 406, -666, 993.93, 24.48, 100.0
35918, 532, -327, 764, 25270, 11690, -7770, -133, 403, -669, 993.93, 24.48, 100.0
35922, 525, -326, 767, 25270, 11690, -7770, -150, 403, -669, 993.93, 24.48, 100.0
35934, 479, -314, 772, 26250, 15260, -7840, -150, 403, -669, 993.89, 24.48, 100.0
35938, 462, -311, 777, 26250, 15260, -7840, -151, 403, -678, 993.89, 24.48, 100.0
35942, 442, -304, 778, 24710, 17430, -5810, -151, 403, -678, 993.89, 24.48, 100.0
35954, 420, -296, 781, 24710, 17430, -5810, -151, 403, -678, 993.90, 24.48, 100.0
35958, 425, -299, 783, 24710, 17430, -5810, -150, 408, -685, 993.90, 24.48, 100.0
35962, 424, -300, 785, 22680, 16590, -1960, -150, 408, -685, 993.90, 24.48, 100.0
35974, 430, -306, 784, 22680, 16590, -1960, -150, 408, -685, 993.88, 24.48, 100.0
35978, 435, -310, 787, 22680, 16590, -1960, -151, 412, -693, 993.88, 24.48, 100.0
35982, 440, -311, 789, 20230, 13650, 3150, -151, 412, -693, 993.88, 24.48, 100.0
35994, 447, -307, 792, 20230, 13650, 3150, -151, 412, -693, 993.85, 24.52, 100.0
35998, 446, -304, 791, 20230, 13650, 3150, -154, 421, -688, 993.85, 24.52, 100.0
36002, 449, -302, 792, 18690, 11270, 6930, -154, 421, -688, 993.85, 24.52, 100.0
36014, 444, -300, 795, 18690, 11270, 6930, -154, 421, -688, 993.91, 24.52, 100.0
36018, 441, -302, 796, 17290, 9310, 7070, -154, 417, -691, 993.91, 24.52, 100.0
36022, 441, -303, 796, 17290, 9310, 7070, -154, 417, -691, 993.91, 24.52, 100.0
36034, 455, -313, 793, 17290, 9310, 7070, -154, 417, -691, 993.90, 24.52, 100.0
36038, 458, -317, 794, 15120, 6090, 3010, -153, 412, -694, 993.90, 24.52, 100.0
36042, 467, -319, 794, 15120, 6090, 3010, -153, 412, -694, 993.90, 24.52, 100.0
36054, 483, -320, 791, 15120, 6090, 3010, -160, 427, -696, 993.89, 24.52, 100.0
36058, 492, -318, 789, 14070, 910, -840, -160, 427, -696, 993.89, 24.52, 100.0
36062, 495, -314, 786, 14070, 910, -840, -160, 427, -696, 993.89, 24.52, 100.0
36074, 504, -282, 783, 15190, -2940, -1120, -156, 426, -696, 993.92, 24.44, 100.0
36078, 503, -269, 779, 15190, -2940, -1120, -156, 426, -696, 993.92, 24.44, 100.0
36082, 505, -261, 779, 15190, -2940, -1120, -156, 426, -696, 993.92, 24.44, 100.0
36094, 495, -251, 780, 14980, -3920, 700, -165, 415, -705, 993.91, 24.44, 100.0
36098, 494, -237, 779, 14980, -3920, 700, -165, 415, -705, 993.91, 24.44, 100.0
36102, 501, -240, 784, 14980, -3920, 700, -165, 415, -705, 993.91, 24.44, 100.0
36114, 516, -271, 786, 11130, -3080, 1260, -162, 423, -702, 993.91, 24.44, 100.0
36118, 520, -284, 789, 11130, -3080, 1260, -162, 423, -702, 993.91, 24.44, 100.0
36122, 519, -297, 793, 11130, -3080, 1260, -162, 423, -702, 993.91, 24.44, 100.0
36134, 508, -315, 797, 6300, -1680, -210, -168, 417, -699, 993.92, 24.44, 100.0
36138, 507, -317, 802, 6300, -1680, -210, -168, 417, -699, 993.92, 24.44, 100.0
36142, 508, -321, 804, 6300, -1680, -210, -168, 417, -699, 993.92, 24.44, 100.0
36154, 495, -313, 810, 4340, 70, -2240, -169, 427, -697, 993.92, 24.52, 100.0
36158, 490, -310, 810, 4340, 70, -2240, -169, 427, -697, 993.92, 24.52, 100.0
36162, 493, -310, 813, 4340, 70, -2240, -169, 427, -697, 993.92, 24.52, 100.0
36174, 495, -313, 810, 3570, 210, -3430, -166, 424, -699, 993.92, 24.52, 100.0
36178, 497, -316, 812, 3570, 210, -3430, -166, 424, -699, 993.92, 24.52, 100.0
36182, 501, -318, 815, 3570, 210, -3430, -166, 424, -699, 993.92, 24.52, 100.0
36194, 512, -328, 821, 2310, -560, -4480, -169, 420, -691, 993.92, 24.52, 100.0
36198, 510, -326, 819, 2310, -560, -4480, -169, 420, -691, 993.92, 24.52, 100.0
36202, 512, -326, 820, 2310, -560, -4480, -169, 420, -691, 993.92, 24.52, 100.0
36214, 517, -322, 826, 2170, -1050, -4690, -160, 421, -700, 993.95, 24.52, 100.0
36218, 519, -321, 822, 2170, -1050, -4690, -160, 421, -700, 993.95, 24.52, 100.0
36222, 509, -317, 823, 2170, -1050, -4690, -160, 421, -700, 993.95, 24.52, 100.0
36234, 497, -310, 819, 3290, -630, -3430, -162, 417, -699, 993.94, 24.50, 100.0
36238, 484, -305, 815, 3290, -630, -3430, -162, 417, -699, 993.94, 24.50, 100.0
36242, 483, -304, 815, 3290, -630, -3430, -162, 417, -699, 993.94, 24.50, 100.0
36254, 468, -300, 820, 3640, 210, -980, -175, 418, -700, 993.94, 24.50, 100.0
36258, 466, -302, 820, 3640, 210, -980, -175, 418, -700, 993.94, 24.50, 100.0
36262, 465, -305, 822, 3640, 210, -980, -175, 418, -700, 993.94, 24.50, 100.0
36274, 477, -313, 824, 2030, -630, 2520, -165, 420, -696, 993.88, 24.50, 100.0
36278, 484, -320, 824, 2030, -630, 2520, -165, 420, -696, 993.88, 24.50, 100.0
36282, 484, -321, 824, 2030, -630, 2520, -165, 420, -696, 993.88, 24.50, 100.0
36294, 484, -333, 822, -140, -3500, 4690, -162, 418, -696, 993.92, 24.50, 100.0
36298, 483, -336, 823, -140, -3500, 4690, -162, 418, -696, 993.92, 24.50, 100.0
36302, 486, -339, 825, -840, -5600, 3640, -162, 418, -696, 993.92, 24.50, 100.0
36314, 495, -345, 821, -840, -5600, 3640, -160, 421, -693, 993.95, 24.50, 100.0
36318, 498, -347, 819, -840, -5600, 3640, -160, 421, -693, 993.95, 24.50, 100.0
36322, 502, -346, 818, 70, -7420, 1610, -160, 421, -693, 993.95, 24.50, 100.0
36334, 509, -339, 813, 70, -7420, 1610, -166, 415, -696, 993.97, 24.50, 100.0
36338, 513, -340, 814, 70, -7420, 1610, -166, 415, -696, 993.97, 24.50, 100.0
36342, 507, -335, 812, 2170, -8820, 1260, -166, 415, -696, 993.97, 24.50, 100.0
36354, 492, -331, 810, 2170, -8820, 1260, -166, 417, -697, 993.99, 24.50, 100.0
36358, 492, -336, 810, 2170, -8820, 1260, -166, 417, -697, 993.99, 24.50, 100.0
36362, 487, -334, 808, 3640, -7770, 2730, -166, 417, -697, 993.99, 24.50, 100.0
36374, 475, -322, 803, 3640, -7770, 2730, -165, 424, -700, 993.98, 24.50, 100.0
36378, 482, -323, 802, 4060, -6510, 4130, -165, 424, -700, 993.98, 24.50, 100.0
36382, 485, -324, 801, 4060, -6510, 4130, -165, 424, -700, 993.98, 24.46, 100.0
36394, 488, -333, 804, 4060, -6510, 4130, -154, 421, -700, 994.00, 24.46, 100.0
36398, 487, -333, 805, 3780, -6020, 4620, -154, 421, -700, 994.00, 24.46, 100.0
36402, 490, -330, 805, 3780, -6020, 4620, -154, 421, -700, 994.00, 24.46, 100.0
36414, 494, -325, 801, 3780, -6020, 4620, -166, 421, -694, 993.99, 24.46, 100.0
36418, 497, -321, 801, 4690, -5880, 4690, -166, 421, -694, 993.99, 24.46, 100.0
36422, 500, -316, 800, 4690, -5880, 4690, -166, 421, -694, 993.99, 24.46, 100.0
36434, 507, -304, 796, 4690, -5880, 4690, -159, 420, -693, 994.01, 24.46, 100.0
36438, 506, -295, 798, 6160, -6650, 4760, -159, 420, -693, 994.01, 24.46, 100.0
36442, 498, -288, 797, 6160, -6650, 4760, -159, 420, -693, 994.01, 24.46, 100.0
36454, 496, -273, 795, 6160, -7630, 4340, -162, 424, -696, 994.02, 24.46, 100.0
36458, 497, -273, 790, 6160, -7630, 4340, -162, 424, -696, 994.02, 24.50, 100.0
36462, 496, -276, 789, 6160, -7630, 4340, -145, 411, -696, 994.02, 24.50, 100.0
36474, 467, -286, 788, 3570, -9450, 3220, -145, 411, -696, 993.99, 24.50, 100.0
36478, 534, -317, 795, 3570, -9450, 3220, -145, 411, -696, 993.99, 24.50, 100.0
36482, 513, -315, 789, 3570, -9450, 3220, -156, 417, -693, 993.99, 24.50, 100.0
36494, 528, -334, 791, 140, -11900, 4340, -156, 417, -693, 994.00, 24.50, 100.0
36498, 531, -340, 792, 140, -11900, 4340, -156, 417, -693, 994.00, 24.50, 100.0
36502, 522, -340, 797, 140, -11900, 4340, -154, 421, -687, 994.00, 24.50, 100.0
36514, 529, -347, 785, -490, -12320, 6720, -154, 421, -687, 993.96, 24.50, 100.0
36518, 527, -347, 793, -490, -12320, 6720, -154, 421, -687, 993.96, 24.50, 100.0
36522, 528, -344, 787, -490, -12320, 6720, -157, 415, -687, 993.96, 24.50, 100.0
36534, 522, -332, 793, 420, -11200, 9240, -157, 415, -687, 993.94, 24.48, 100.0
36538, 522, -327, 793, 420, -11200, 9240, -157, 415, -687, 993.94, 24.48, 100.0
36542, 523, -324, 791, 420, -11200, 9240, -157, 415, -687, 993.94, 24.48, 100.0
36554, 521, -319, 786, 630, -10220, 10220, -157, 415, -687, 993.92, 24.48, 100.0
36558, 516, -319, 784, 630, -10220, 10220, -157, 415, -687, 993.92, 24.48, 100.0
36562, 517, -319, 784, 630, -10220, 10220, -160, 420, -684, 993.92, 24.48, 100.0
36574, 519, -324, 779, -630, -10360, 9450, -160, 420, -684, 993.91, 24.48, 100.0
36578, 523, -326, 781, -630, -10360, 9450, -160, 420, -684, 993.91, 24.48, 100.0
36582, 523, -326, 777, -630, -10360, 9450, -154, 427, -691, 993.91, 24.48, 100.0
36594, 532, -334, 777, -2800, -11690, 7840, -154, 427, -691, 993.93, 24.48, 100.0
